id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28463617690991,114.14999773120417,Entire home/apt,1601,2,73,2017-11-29,0.72,1,352
69074,Beautiful oasis of plants & art and best location,160139,Amy,,Central & Western,22.28351648615543,114.15017721985663,Entire home/apt,1413,3,108,2018-08-09,1.18,1,71
101765,Lamma Island flat 2min walk from the beach!,532909,Michael,,Islands,22.200223996029003,114.13460854409271,Entire home/apt,432,2,3,2018-07-31,0.69,1,161
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28407389614942,114.15569563226877,Entire home/apt,856,2,231,2018-07-26,2.65,38,307
132773,Fabulous 2 Bdrm Aprt Open kitchen ,304876,Brend,,Central & Western,22.28867884498249,114.14494426887485,Entire home/apt,1060,2,156,2018-07-22,1.81,38,319
133390,"Soho, Hong Kong 1 bedroom flat",654642,Robin,,Central & Western,22.283434706052102,114.15539201543848,Entire home/apt,942,2,27,2015-06-30,0.31,1,42
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.286510725809475,114.14874342866396,Entire home/apt,699,2,178,2018-07-22,2.10,38,301
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.286944337481117,114.14855130064541,Entire home/apt,777,2,184,2018-07-09,2.15,38,316
174574,"2 BR SEA VIEW, AIR & DISNEY ♥ LATE SELF CHK-IN OK",530880,Jennifer,,Islands,22.303881924388964,114.00887494506824,Entire home/apt,1578,1,91,2018-08-05,1.09,2,82
230898,Entire two bedroom apartment in a beautiful area,802480,Hoan Soo,,Kowloon City,22.303479530214016,114.18543547228687,Entire home/apt,620,3,0,,,1,152
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.282905404035613,114.15136548845771,Entire home/apt,997,2,137,2018-07-06,1.66,1,143
251992,"BEST BALCONY In Sheung Wan, 2 BR",1321952,Timothy,,Central & Western,22.285357919330796,114.1500428814884,Entire home/apt,2347,1,19,2018-07-28,0.23,2,63
262212,Wan Chai MTR Open Studio: 1-4 Guests 460SF,1375696,C S,,Wan Chai,22.276260135459502,114.17292694108141,Entire home/apt,1319,1,67,2018-07-29,0.82,21,169
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.277566220916423,114.1520502386495,Private room,4317,10,0,,,1,0
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.279399884482324,114.17117922634515,Entire home/apt,1083,2,199,2018-07-29,2.45,1,301
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.283593390690164,114.13138050818075,Entire home/apt,903,2,39,2016-07-03,0.48,5,288
278277,FANTASTIC (HK) in the heart of HK ,1452499,Sally,,Wan Chai,22.279376716931864,114.17368112272703,Entire home/apt,1554,3,194,2018-08-12,2.39,7,293
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46662457800921,113.98315629426554,Entire home/apt,942,4,28,2017-11-25,0.36,5,345
282506, Modern 1 B/R Apt Causeway Bay   ,1443229,Alice,,Eastern,22.28382203808877,114.19262382232866,Entire home/apt,1020,3,69,2017-12-09,0.85,5,357
284141,"Big, quiet apt above Hollywood Rd",1469210,Abheek,,Central & Western,22.2831708432829,114.15028474440072,Entire home/apt,628,2,22,2016-06-20,0.27,1,0
290161,Amazing Location -  Designer Flat,1505903,Sara,,Central & Western,22.281136325631774,114.15306040851496,Entire home/apt,785,1,47,2015-09-21,0.83,1,0
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.282223199573075,114.15447639789869,Entire home/apt,1075,30,20,2015-08-14,0.25,1,365
320446,SUITE 2: Next2 SouthPacificHotel,1375696,C S,,Wan Chai,22.27598989041941,114.17976489612018,Private room,1005,1,15,2015-11-14,0.19,21,128
320447,3BedR + 3BathR (3-10 Guests) 600SF,1375696,C S,,Wan Chai,22.277106596351448,114.1777150347783,Entire home/apt,2261,1,90,2018-06-29,1.16,21,166
321143,2BR + OUTDOOR PATIO: 2-6 Guests 480SF + 400SF,1375696,C S,,Wan Chai,22.278156146689867,114.17633577765386,Entire home/apt,1790,1,62,2018-08-12,0.80,21,70
